X,Y,name,location,cuisine,website,delivery
-5.71608,54.32828,Fodder NI,Downpatrick,Farm Shop,https://www.facebook.com/fodderni/,Delivery ✅
-6.15149,54.41377,Dromore Meats,Dromore,Butchers,https://www.facebook.com/Dromore-meats-1706011276350150/,Delivery ✅
-6.328777129,54.18111456,Cordners Spar,Dundonald,Groceries,https://www.facebook.com/pages/Cordners-Spar/1463163433931304,Delivery ✅
-6.92257,54.92629,Eurospar Dungiven,Dungiven,Groceries,https://www.facebook.com/eurospar.dungiven/,Delivery ✅
-5.86284,54.59494,Costcutter Newtownards,Ballyhackamore,Groceries,028 90458008,Delivery ✅
-5.86284,54.59494,Refill Quarter,Ballyhackamore,Groceries,https://www.facebook.com/refillquarter/,Delivery ✅
-5.90065359,54.45239109,Newtown Coffee House,Carryduff,Groceries,https://www.facebook.com/newtoncoffeehouse/,Delivery ✅
-6.32172,54.85891,McAtamney's Butchers,Galgorm,Butchers,https://www.facebook.com/McAtamneys/,Delivery ✅
-6.919845887,54.92963587,Kenny's Spar,Garvagh,Groceries,https://www.facebook.com/kennysconveniencestores/,Delivery ✅
-6.919845887,54.92963587,McAtamney's Butchers,Garvagh,Butchers,https://www.facebook.com/McAtamneys/,Delivery ✅
-5.938383598,54.36202361,Maginn's Centra Gilford,Gilford,Groceries,https://www.facebook.com/CentraGilford/,Delivery ✅
-6.542,54.34167,Costcutter Hamiltownsbawn ,Hamiltownsbawn ,Groceries,https://hamiltonsbawn.cylex-uk.co.uk/company/costcutter-23848450.html,Delivery ✅
-5.73935,54.66627,Helen's Bay Organic,Helen's Bay,Groceries,https://www.facebook.com/helensbayorganic/,Delivery ✅
-6.08326,54.46273,Azora Co-op,Hillsborough,Fruit and Veg,https://www.facebook.com/azoracoop/,Delivery ✅
-6.08326,54.46273,Carnreagh Cottage Farm,Hillsborough,Farm Shop,https://www.facebook.com/Carnreagh-Cottage-Farm-602099326666003/,Delivery ✅
-5.8352,54.64133,Alexander’s,Holywood,Pre Made Meals,https://www.facebook.com/Alexandersholywood/,Delivery ✅
-5.8352,54.64133,Camphill,Holywood,Farm Shop,https://www.facebook.com/CamphillCommunityHolywood/,Delivery ✅
-5.8352,54.64133,Corries Meats,Holywood,Butchers,https://www.facebook.com/CorriesMeats/,Delivery ✅
-5.8352,54.64133,Knotts Bakery,Holywood,Bakery,https://www.facebook.com/knottsbakery/,Delivery ✅
-5.8352,54.64133,Orrs Butchers,Holywood,Butchers,https://www.facebook.com/orrs.butchers/,Delivery ✅
-5.6512,54.39965,Alfie Murray Butcher,Killyleagh,Butchers,https://www.facebook.com/alfiesss/,Delivery ✅
-5.6512,54.39965,Little Gem Greengrocer,Killyleagh,Fruit and Veg,028 4482 1367,Delivery ✅
-5.6512,54.39965,Spar,Killyleagh,Groceries,https://www.facebook.com/SPARKillyleagh/,Delivery ✅
-7.308384029,54.99862856,Marshall Howe,Limavady,Fruit and Veg,https://www.facebook.com/marshallhowe.greengrocers/timeline?lst=588505081%3A100012447997758%3A1585077845,Delivery ✅
-7.308384029,54.99862856,McAtamney's Butchers,Limavady,Butchers,https://www.facebook.com/McAtamneys/,Delivery ✅
-7.308384029,54.99862856,McCloskey's,Limavady,Butchers,https://www.yell.com/biz/mccloskey-meats-limavady-662039/?fbclid=IwAR3jKBcXpYwWWyvNtQRt5L6IcFb6xtwiv-052VOSXhx6Bn5HF-KAM3HKQWY,Delivery ✅
-5.848671548,54.45896611,Ashvale Farm Shop,Lisburn,Farm Shop,https://www.facebook.com/ashvalefarmshop/,Delivery ✅
-5.848671548,54.45896611,Kens Raw Jersey Cow Milk,Lisburn,Milk Men,https://www.facebook.com/kensmilk/,Delivery ✅
-5.93455,54.59534,Knotts Bakery,Belfast,Bakery,https://www.facebook.com/knottsbakery/,Delivery ✅
-7.295049372,54.99017598,McAtamney's Butchers,Lisnagelvin,Butchers,https://www.facebook.com/McAtamneys/,Delivery ✅
-6.33597,54.46305,Jim McCann & Sons Family Butchers,Lurgan,Butchers,https://www.facebook.com/jimmccannbutchers/,Delivery ✅
-6.33597,54.46305,Moutray's Costcutter,Lurgan,Groceries,https://www.facebook.com/MoutraysCostcutterLurgan/,Delivery ✅
-6.33597,54.46305,Lurgan Costcutter,Lurgan,Groceries,https://www.facebook.com/MoutraysCostcutterLurgan/,Delivery ✅
-6.33597,54.46305,Dollingstown Costcutter,Lurgan,Groceries,https://www.facebook.com/MoutraysCostcutterLurgan/,Delivery ✅
-6.33597,54.46305,Hendersons North Street,Lurgan,Fruit and Veg,https://www.facebook.com/hendersons.northstreet/,Delivery ✅
-6.33597,54.46305,Eurospar Lurgan,Lurgan,Groceries,https://www.facebook.com/SparLurgan/,Delivery ✅
-6.67159,54.84717,Bradleys Centra,Maghera,Groceries,https://www.facebook.com/bradleyscentra/,Delivery ✅
-6.67159,54.84717,McKee's Butchers,Maghera,Butchers,https://www.facebook.com/mckeespies/,Delivery ✅
-6.67159,54.84717,Crawfords Maghera,Maghera,Groceries,https://www.facebook.com/crawfords.maghera/,Delivery ✅
-6.67159,54.84717,McAtamney's Butchers,Maghera,Butchers,https://www.facebook.com/McAtamneys/,Delivery ✅
-6.60953,54.75552,McAtamney's Butchers,Magherafelt,Butchers,https://www.facebook.com/McAtamneys/,Delivery ✅
-5.89306,54.21448,Mourne Manor Organics,Newcastle,Fruit and Veg,https://www.facebook.com/mournemanororganics/,Delivery ✅
