X,Y,name,location,cuisine,website,mainPicture,delivery
-5.53874,54.64273,Donaghadee Dairies,Donaghadee,Milk Men,https://www.facebook.com/DONAGHADEEDAIRIES/,https://scontent.flhr4-1.fna.fbcdn.net/v/t1.0-9/80100713_2911058772303665_7100655283407421440_o.jpg?_nc_cat=101&_nc_sid=85a577&_nc_ohc=H8fJCABJ1KsAX_kbIGF&_nc_ht=scontent.flhr4-1.fna&oh=af2f3a94ad72d5f3d280fe257e073390&oe=5EA0A947,Delivery ✅
-5.71608,54.32828,Connoisseur Vegetables,Downpatrick,Fruit and Veg,https://www.facebook.com/Connoisseurvegetables/,https://scontent.flhr4-2.fna.fbcdn.net/v/t31.0-8/13652955_1956758491217648_3220569244093565842_o.jpg?_nc_cat=100&_nc_sid=85a577&_nc_ohc=EMj6gKXtkdsAX-fBJCl&_nc_ht=scontent.flhr4-2.fna&oh=82ba1000ac43d70ba00a90cdd8914c79&oe=5EA31ECC,Delivery ✅
-5.71608,54.32828,Eastcoast Seafoods,Downpatrick,Fish,https://www.facebook.com/eastcoastseafoods/,https://scontent.flhr4-1.fna.fbcdn.net/v/t1.0-9/17022069_422705038071329_160374581722046441_n.jpg?_nc_cat=108&_nc_sid=85a577&_nc_ohc=SycgoJTGv4AAX9RF1Qa&_nc_ht=scontent.flhr4-1.fna&oh=081228d907760197c48b255fa747e7c9&oe=5EA0A11D,Delivery ✅
-5.71608,54.32828,Fodder NI,Downpatrick,Farm Shop,https://www.facebook.com/fodderni/,https://scontent.flhr4-1.fna.fbcdn.net/v/t1.0-9/37223532_1540060779470644_9111945909293285376_n.png?_nc_cat=107&_nc_sid=85a577&_nc_ohc=6VDhPNkOvmgAX9TqL4x&_nc_ht=scontent.flhr4-1.fna&oh=c8402dc60bf401fad2ef8f54de377bc2&oe=5EA2FB9E,Delivery ✅
-6.328777129,54.18111456,Cordners Spar,Dundonald,Groceries,https://www.facebook.com/pages/Cordners-Spar/1463163433931304,https://scontent.flhr4-1.fna.fbcdn.net/v/t1.0-9/90299326_2475431302720561_5224681141235089408_o.jpg?_nc_cat=101&_nc_sid=110474&_nc_ohc=Uizfj8oymf0AX-2ssFn&_nc_ht=scontent.flhr4-1.fna&oh=b8281f05cb45c97afe4c68d6c40984e1&oe=5EA04266,Delivery ✅
-6.92257,54.92629,Eurospar Dungiven,Dungiven,Groceries,https://www.facebook.com/eurospar.dungiven/,https://scontent.flhr4-2.fna.fbcdn.net/v/t1.0-9/90457506_3029597083765388_7657810411118395392_n.jpg?_nc_cat=103&_nc_sid=85a577&_nc_ohc=tD31VPb9LgUAX8A8egU&_nc_ht=scontent.flhr4-2.fna&oh=e26fb48e307f5cf12539642d88fe976d&oe=5EA1EF8B,Delivery ✅
-5.86284,54.59494,Refill Quarter,Ballyhackamore,Groceries,https://www.facebook.com/refillquarter/,https://scontent.flhr4-2.fna.fbcdn.net/v/t1.0-9/69495648_648779678944519_6787492832555827200_o.jpg?_nc_cat=100&_nc_sid=85a577&_nc_ohc=5I9avk9MGSsAX_TG6wL&_nc_ht=scontent.flhr4-2.fna&oh=4edf9325b1d01fca13ed1658b64547d4&oe=5EA053EB,Delivery ✅
-5.90065359,54.45239109,Newtown Coffee House,Carryduff,Groceries,https://www.facebook.com/newtoncoffeehouse/,https://scontent.flhr4-2.fna.fbcdn.net/v/t1.0-9/62046579_465339137627930_7312440554564878336_o.jpg?_nc_cat=109&_nc_sid=85a577&_nc_ohc=I0Cxmdm6_4QAX-Yq7el&_nc_ht=scontent.flhr4-2.fna&oh=0e6b165f2ffef2ba8a6f1d54f6a2c7eb&oe=5EA25106,Delivery ✅
-6.919845887,54.92963587,Kenny's Spar,Garvagh,Groceries,https://www.facebook.com/kennysconveniencestores/,https://scontent.flhr4-1.fna.fbcdn.net/v/t1.0-9/15977470_1544881932193475_7650911578073504881_n.jpg?_nc_cat=106&_nc_sid=85a577&_nc_ohc=TNxLImLc6EsAX-S5IS0&_nc_ht=scontent.flhr4-1.fna&oh=caf51c4157645e997138f935646c1d4c&oe=5EA25F78,Delivery ✅
-6.919845887,54.92963587,McAtamney's Butchers,Garvagh,Butchers,https://www.facebook.com/McAtamneys/,https://scontent.flhr4-2.fna.fbcdn.net/v/t1.0-9/25994522_768266480047261_2494927120288055875_n.jpg?_nc_cat=103&_nc_sid=85a577&_nc_ohc=SGjQerQpzY0AX_MWAb1&_nc_ht=scontent.flhr4-2.fna&oh=d3be1b29d2db6885f190bddcd59397c7&oe=5EA12545,Delivery ✅
